year,bank,survey_scope,survey_type,species_label,n_transects,mean_percent_cover,sd_percent_cover,se_percent_cover,data_source_branch
1995,WFGB,study_site,RT,Montastraea cavernosa (MOCA),18,4.099588155795321,5.015689301737586,1.1822093058611556,cpce
1995,WFGB,study_site,RT,Mussa angulosa (MUAN),18,0.12145941065285891,0.28104519517104004,0.06624298777511306,cpce
1995,WFGB,study_site,RT,Orbicella annularis (ORAN),18,0.5426883181298656,1.6837893784932447,0.3968729625408186,cpce
1995,WFGB,study_site,RT,Orbicella faveolata (ORFA),18,4.094342575927683,6.718073335757071,1.5834650707407851,cpce
1995,WFGB,study_site,RT,Orbicella franksi (ORFR),18,27.154155600063334,15.233115686157046,3.5904798000936053,cpce
1995,WFGB,study_site,RT,Orbicella spp. (ORSP),18,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Porites astreoides (POAS),18,2.3415794271639827,1.936293263462687,0.4563886989867655,cpce
1995,WFGB,study_site,RT,Porites furcata (POFU),18,0.014736221632773355,0.06252049347361162,0.014736221632773355,cpce
1995,WFGB,study_site,RT,Pseudodiploria strigosa (PSST),18,8.388850359506035,4.666962357869463,1.1000135769306187,cpce
1995,WFGB,study_site,RT,Scolymia cubensis (SCCU),18,0.021071759898250084,0.06143867522494486,0.014481234626225482,cpce
1995,WFGB,study_site,RT,Scolymia sp (SCSP),18,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Siderastrea radians (SIRA),18,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Siderastrea siderea (SISI),18,3.1532213024407683,6.912541906876536,1.629301752529529,cpce
1995,WFGB,study_site,RT,Siderastrea sp (SISP),18,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Stephanocoenia intersepta (STIN),18,1.0791251835728604,1.6401092619502453,0.38657746033729407,cpce
1995,WFGB,study_site,RT,Stephaocoenia sp (STSP),18,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Unknown Coral I (C1),18,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Unknown Coral II (C2),18,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Unknown Coral III (C3),18,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Unknown Coral IV (C4),18,0.0,0.0,0.0,cpce
1996,EFGB,study_site,RT,Agaricia agaricites (AGAG),8,0.5644728821368622,0.49273182407663757,0.17420700705550368,cpce
1996,EFGB,study_site,RT,Agaricia fragilis (AGFR),8,0.0,0.0,0.0,cpce
1996,EFGB,study_site,RT,Agaricia lamarcki (AGLA),8,0.0,0.0,0.0,cpce
1996,EFGB,study_site,RT,Agaricia sp (AGSP),8,0.0,0.0,0.0,cpce
1996,EFGB,study_site,RT,Colpophyllia amaranthus (COAM),8,0.12353736479842675,0.2511867708762225,0.08880793451546425,cpce
1996,EFGB,study_site,RT,Colpophyllia natans (CONA),8,2.354820302636171,2.655347955433567,0.9388072728484547,cpce
1996,EFGB,study_site,RT,Colpophyllia sp (COSP),8,0.0,0.0,0.0,cpce
1996,EFGB,study_site,RT,Crustose Coralline Algae (CCA),8,5.087017732180801,1.0370642595092092,0.3666575852125836,cpce
1996,EFGB,study_site,RT,Madracis auretenra (MAAU),8,0.0,0.0,0.0,cpce
1996,EFGB,study_site,RT,Madracis decactis (MADE),8,0.46819082770014875,0.38454576476875224,0.13595745897227582,cpce
1996,EFGB,study_site,RT,Madracis sp (MASP),8,0.0,0.0,0.0,cpce
1996,EFGB,study_site,RT,Millepora alcicornis (MIAL),8,1.1633233399314418,0.9957801988390323,0.3520614655851842,cpce
1996,EFGB,study_site,RT,Montastraea cavernosa (MOCA),8,3.4750202991096395,2.1994308716668867,0.7776162420533473,cpce
1996,EFGB,study_site,RT,Mussa angulosa (MUAN),8,0.06303054802624973,0.052402784573626494,0.018527182162534548,cpce
1996,EFGB,study_site,RT,Orbicella annularis (ORAN),8,0.616370808678501,1.7433599141680167,0.616370808678501,cpce
1996,EFGB,study_site,RT,Orbicella faveolata (ORFA),8,3.421347009914771,2.9816837982377575,1.05418441654399,cpce
1996,EFGB,study_site,RT,Orbicella franksi (ORFR),8,20.599647718327457,5.584696037517428,1.9744882194971074,cpce
1996,EFGB,study_site,RT,Orbicella spp. (ORSP),8,0.0,0.0,0.0,cpce
1996,EFGB,study_site,RT,Porites astreoides (POAS),8,4.539449273385633,1.3543795358042623,0.47884547703374114,cpce
1996,EFGB,study_site,RT,Porites furcata (POFU),8,0.05567928730512249,0.15748480650034466,0.05567928730512249,cpce
1996,EFGB,study_site,RT,Pseudodiploria strigosa (PSST),8,8.209003138442107,7.984437778619414,2.8229250486119204,cpce
1996,EFGB,study_site,RT,Scolymia cubensis (SCCU),8,0.0,0.0,0.0,cpce
1996,EFGB,study_site,RT,Scolymia sp (SCSP),8,0.0,0.0,0.0,cpce
1996,EFGB,study_site,RT,Siderastrea radians (SIRA),8,0.0,0.0,0.0,cpce
1996,EFGB,study_site,RT,Siderastrea siderea (SISI),8,2.6307987239057393,2.9957212161369124,1.059147393237411,cpce
1996,EFGB,study_site,RT,Siderastrea sp (SISP),8,0.0,0.0,0.0,cpce
1996,EFGB,study_site,RT,Stephanocoenia intersepta (STIN),8,0.6367356089049434,0.47611530580813705,0.16833218068182024,cpce
1996,EFGB,study_site,RT,Stephaocoenia sp (STSP),8,0.0,0.0,0.0,cpce
